Feature,Ranking,target
P_RS_030,1,MB18
h_RC_030,1,MB18
h_MA_060,1,MB18
h_MA_030,1,MB18
h_MA_014,1,MB18
Q_RS_030,1,MB18
Q,1,MB18
P_RS_007,2,MB18
h_RC_007,3,MB18
Q_RS_007,4,MB18
Sin_2s,5,MB18
Cos_2s,6,MB18
TA_MA_060,7,MB18
MB8,8,MB18
TW_MA_030,9,MB18
TA_MA_007,10,MB18
MB10,11,MB18
TW,12,MB18
GV3,13,MB18
GV51,14,MB18
TW_MA_007,15,MB18
TA,16,MB18
ln_t,17,MB18
P,18,MB18
GV1,19,MB18
year,20,MB18
month,21,MB18
