Target,Best Parameters,RMSE_train,RMSE_crossval,RMSE_test,MAE_test,Nash-Sutcliffe Test,Kling-Gupta Test,Train data length (months),Tune time (s),Number of trials,Elapsed time
GV1,"{'n_estimators': 1007, 'learning_rate': 0.014293584268844563, 'num_leaves': 4, 'max_depth': 12, 'colsample_bytree': 0.9766081954815004, 'reg_alpha': 7.880688314878251, 'reg_lambda': 0.5857880986504462, 'min_split_gain': 0.1052187479265481, 'subsample': 0.9975098521407143}",0.096,0.5,0.26,0.193,0.993,0.991,43.0,36.6944,30.0,0.0
GV3,"{'n_estimators': 2420, 'learning_rate': 0.050717134295075746, 'num_leaves': 7, 'max_depth': 5, 'colsample_bytree': 0.535291592329673, 'reg_alpha': 0.33266233689236024, 'reg_lambda': 14.86874960249721, 'min_split_gain': 1.2602587761747783, 'subsample': 0.4012664532572147}",0.127,0.913,0.687,0.445,0.969,0.959,43.0,57.1435,30.0,0.0
GV51,"{'n_estimators': 1022, 'learning_rate': 0.013134119273039471, 'num_leaves': 4, 'max_depth': 11, 'colsample_bytree': 0.9532865865047743, 'reg_alpha': 7.29383857050058, 'reg_lambda': 0.4967491222409194, 'min_split_gain': 0.10525161528906532, 'subsample': 0.9317793313894049}",0.157,0.846,0.496,0.265,0.986,0.975,43.0,43.9024,30.0,0.0
MB4,"{'n_estimators': 2955, 'learning_rate': 0.043601451958521394, 'num_leaves': 15, 'max_depth': 10, 'colsample_bytree': 0.3843254363038824, 'reg_alpha': 0.4307830374661244, 'reg_lambda': 0.24003694061160627, 'min_split_gain': 2.7289018594367422, 'subsample': 0.3688881769731558}",0.536,3.559,1.692,1.21,0.851,0.74,43.0,50.1585,30.0,0.0
MB8,"{'n_estimators': 2562, 'learning_rate': 0.0002721948710291453, 'num_leaves': 19, 'max_depth': 7, 'colsample_bytree': 0.3416680396301089, 'reg_alpha': 36.36662142829141, 'reg_lambda': 11.930641162327543, 'min_split_gain': 1.1485285846125317, 'subsample': 0.4455322004731267}",2.062,3.961,1.507,1.325,-0.391,-0.344,43.0,72.9079,30.0,0.0
MB10,"{'n_estimators': 1983, 'learning_rate': 0.0009833181933644897, 'num_leaves': 2, 'max_depth': 3, 'colsample_bytree': 0.2114381362663436, 'reg_alpha': 9.31504999849916, 'reg_lambda': 5.257127272786866, 'min_split_gain': 5.948746813219773, 'subsample': 0.2966298998700067}",1.1,1.044,1.125,0.897,0.166,0.149,43.0,48.3858,30.0,0.0
MB18,"{'n_estimators': 2071, 'learning_rate': 0.0008612579192594886, 'num_leaves': 6, 'max_depth': 5, 'colsample_bytree': 0.1530574436550018, 'reg_alpha': 41.38851334163266, 'reg_lambda': 12.361188797337338, 'min_split_gain': 7.56829206016762, 'subsample': 0.7849235338159356}",2.384,4.427,2.813,2.496,0.512,0.348,43.0,57.8646,30.0,0.0
,,,,,,,,,,,390.43059611320496
