target,original_features,optimal_features,rmse_train_full,rmse_train_pruned,rmse_train_improvement_%,rmse_test_full,rmse_test_pruned,rmse_test_improvement_%,mae_test_full,mae_test_pruned,mae_test_improvement_%,selected_features
GV1,38,5,0.06526432434082448,0.08279753542589657,-26.864923926140506,0.25924002720320005,0.3194274545562155,-23.216872796359787,0.19262790409089206,0.2181167200729918,-13.23215143849188,GV3;GV51;h;h_MA_007;h_MA_014
GV3,38,3,0.11811827267042681,0.2201443758049744,-86.37622344784914,0.6935626981646992,0.7045347273631645,-1.581980868852867,0.44880110865562584,0.47812049949512575,-6.532824958326312,GV1;GV51;h_MA_030
GV51,38,3,0.16623299958918555,0.2640909232026309,-58.86792866355254,0.42697197865675496,0.5214241472289417,-22.121397490610818,0.2744324453679487,0.3163421491476381,-15.271409954277978,GV1;GV3;h_MA_030
MB4,38,20,0.5514218681404254,0.5614870661504061,-1.8253171648639672,1.1505482840646062,2.1663471010216777,-88.28823883587938,0.9332741898524974,1.5020624666584843,-60.945463079385384,t;ln_t;month;year;GV1;GV3;GV51;MB8;MB18;h;h_MA_007;h_MA_014;h_MA_030;h_MA_060;h_RC_007;h_RC_030;P_RS_090;P_RS_180;TW_MA_030;Q_RS_030
MB8,38,36,2.544911859311086,2.556937703803917,-0.47254463642155975,1.391356833123778,1.3811582024549824,0.7329989278090726,1.2085161584491466,1.1987399827137546,0.8089404239275958,Sin_s;Cos_s;Sin_2s;Cos_2s;t;ln_t;month;year;GV51;MB4;MB10;MB18;h;h_MA_007;h_MA_014;h_MA_030;h_MA_060;h_RC_007;h_RC_030;P;P_RS_007;P_RS_030;P_RS_060;P_RS_090;P_RS_180;TA;TA_MA_001;TA_MA_007;TA_MA_030;TA_MA_060;TW;TW_MA_007;TW_MA_030;Q;Q_RS_007;Q_RS_030
MB10,38,14,0.09008122982027598,0.14545036030421277,-61.465779934849415,0.9707279947231963,1.0470109676332013,-7.858326258712382,0.7666187754814985,0.8541454806011947,-11.417239952768226,Sin_s;Cos_s;t;ln_t;year;GV1;GV3;GV51;MB8;MB18;TA_MA_030;TA_MA_060;TW;Q
MB18,38,20,0.7263507399305681,0.7498440247418087,-3.2344270501447143,2.3575905597945583,2.3339123300338827,1.0043402007318447,1.9918399575217132,1.9239825408107836,3.406770531672592,Cos_s;t;ln_t;month;GV1;GV3;GV51;MB4;MB8;MB10;h_MA_014;h_MA_030;h_MA_060;h_RC_007;h_RC_030;P_RS_030;P_RS_180;TA_MA_030;TA_MA_060;TW_MA_030
